source_id,survey,wave,original_name,section,description,answer_categories_and_codes,filter,anonymisation_rule,source_document,source_location,extraction_method,review_status
EHIS-W3-ANON-RULES,EHIS,3,PID,TECHNICAL SURVEY VARIABLES,Identification number of respondent,10-digit number,Everybody,unaltered,EHIS wave 3 anonymisation rules.docx,"table 1, row 3",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,HHID,TECHNICAL SURVEY VARIABLES,Identification number of household,10-digit number,Everybody,unaltered,EHIS wave 3 anonymisation rules.docx,"table 1, row 5",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,PRIMSTRAT,TECHNICAL SURVEY VARIABLES,Primary strata as used in the selection of the sample,0001 – 9999,Everybody,removed,EHIS wave 3 anonymisation rules.docx,"table 1, row 7",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,SU,TECHNICAL SURVEY VARIABLES,Primary sampling units as used in the selection of the sample,0001 – 9999,Everybody,removed,EHIS wave 3 anonymisation rules.docx,"table 1, row 9",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,WGT,TECHNICAL SURVEY VARIABLES,Final individual weight,Number 5.3,Everybody,unaltered,EHIS wave 3 anonymisation rules.docx,"table 1, row 11",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,WGT_SPEC,TECHNICAL SURVEY VARIABLES,Final special individual weight,Number 5.3,Everybody,unaltered,EHIS wave 3 anonymisation rules.docx,"table 1, row 13",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,PROXY,TECHNICAL SURVEY VARIABLES,Was the selected person interviewed or someone else (proxy interview),1 Person himself/herself,Everybody,unaltered,EHIS wave 3 anonymisation rules.docx,"table 1, row 15",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,REFDATE,TECHNICAL SURVEY VARIABLES,Reference date of the interview,8 digits (YYYYMMDD),Everybody,"Only YYYYMM kept (DD removed) Country-specific rule for:• ES: REFDATE removed • MT and IE: 5th and 6th digits of REFDATE changed to represent quarters (01, 02, 03, 04)",EHIS wave 3 anonymisation rules.docx,"table 1, row 19",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,INTMETHOD,TECHNICAL SURVEY VARIABLES,Data collection method used,"10 Self-administred, postal non-electronic version",Everybody,unaltered Country-specific rule for: • PT: INTMETHOD removed,EHIS wave 3 anonymisation rules.docx,"table 2, row 2",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,INTLANG,TECHNICAL SURVEY VARIABLES,Language used for interview,3-digit codes (Standard Code List Eurostat),Everybody,removed,EHIS wave 3 anonymisation rules.docx,"table 2, row 10",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,SEX,CORE SOCIAL VARIABLES,Sex of respondent,1 Male,Everybody,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 13",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,AGE,CORE SOCIAL VARIABLES,Age of respondent in completed years at the time of the interview,digit number,Everybody,"5 years age groups with top coding (85 and more): 15-17, 18-19, 20-24, …, 85+Country specific rule for:• MT and IS: first age group is 15-19 • MT and IS: top coding is 75 or more• SK and NO: top coding is 80 or more",EHIS wave 3 anonymisation rules.docx,"table 2, row 16",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,COUNTRY,CORE SOCIAL VARIABLES,Country of residence,Country code (SCL GEO code),Everybody,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 18",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,REGION,CORE SOCIAL VARIABLES,Region of residence,Coding according to NUTS at 2-digit level,Everybody,"unaltered for BE, BG, CZ, DK, DE, EE, IE, ES, HR, HU, IT, LT, AT, PL, PT, SI, SK, FI, SE, RS and removed for all other countries",EHIS wave 3 anonymisation rules.docx,"table 2, row 20",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,DEG_URB,CORE SOCIAL VARIABLES,Degree of urbanisation,1 Cities,Everybody,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 23",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,BIRTHPLACE,CORE SOCIAL VARIABLES,Country of birth,Country code (SCL GEO code),Everybody,"Regrouped as follows: 10 Native-born 21 Born in another EU Member State 22 Born in a non-EU country – 1 Not stated Country-specific rule:• MT, IS and NO: codes 21 and 22 grouped together as code 21",EHIS wave 3 anonymisation rules.docx,"table 2, row 27",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,CITIZEN,CORE SOCIAL VARIABLES,Country of main citizenship,Country code (SCL GEO code),Everybody,"Regrouped as follows: 10 National/has citizenship of the reporting country 21 Non-national/does not have citizenship of the reporting country but national of other EU Member States 22 Non-national/does not have citizenship of the reporting country but non-EU country nationality – 1 Not stated Country-specific rule:• LV, MT, IS and NO: codes 21 and 22 grouped together as code 21",EHIS wave 3 anonymisation rules.docx,"table 2, row 29",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,BIRTHPLACEFATH,CORE SOCIAL VARIABLES,Country of birth of father,Country code (SCL GEO code),Everybody,"Regrouped as follows: 10 Native-born 21 Born in another EU Member State 22 Born in a non-EU country – 1 Not stated Country-specific rule:• MT, IS and NO: codes 21 and 22 grouped together as code 21",EHIS wave 3 anonymisation rules.docx,"table 2, row 31",OOXML table grid,EXTRACTED_UNREVIEWED
