record_id,title,year,source,stage,decision,reason,reviewer,review_date,notes
PMID-35449545,A Secure and Reusable Software Architecture for Supporting Online Data Harmonization.,2021,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 22
PMID-37332385,Reliability and cross-country equivalence of the 8-item version of the Patient Health Questionnaire (PHQ-8) for the assessment of depression: results from 27 countries in Europe.,2023,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 21
PMID-42528936,Assessing quality of life among university students: psychometric evidence of the EUROHIS-QOL in a Latin American context.,2026,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 20
PMID-42207414,Statistical methods for retrospective harmonization of longitudinal epidemiological data: a scoping review.,2026,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 20
PMID-27272186,Maelstrom Research guidelines for rigorous retrospective data harmonization.,2017,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 20
PMID-24257327,Data harmonization and federated analysis of population-based studies: the BioSHaRE project.,2013,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 20
PMID-35957574,Life course of retrospective harmonization initiatives: key elements to consider.,2023,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 18
PMID-35618987,The effects of survey mode on self-reported psychological functioning: Measurement invariance and latent mean comparison across face-to-face and web modes.,2023,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 18
PMID-35252528,A review of harmonization methods for studying dietary patterns.,2022,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 18
PMID-33184054,Overview of retrospective data harmonisation in the MINDMAP project: process and results.,2021,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 18
PMID-37378690,Psychometric properties and general population reference values for PROMIS Global Health in Hungary.,2024,PubMed,title_abstract,PENDING_HUMAN_REVIEW,Machine-ranked candidate; no inclusion decision,,,Transparent relevance score: 17
