source_id,source_type,title,authors_or_body,year,doi,url,role,disposition,notes
CORE-001,methodological_article,Maelstrom Research guidelines for rigorous retrospective data harmonization,Fortier et al.,2017,10.1093/ije/dyw075,https://pubmed.ncbi.nlm.nih.gov/27272186/,Overall retrospective harmonisation workflow,ADOPT,Defines target variables before study-specific processing
CORE-002,methodological_application,Data harmonization and federated analysis of population-based studies: the BioSHaRE project,Doiron et al.,2013,10.1186/1742-7622-10-12,https://pubmed.ncbi.nlm.nih.gov/24257327/,Target-variable assessment and federated implementation,ADAPT,Directly transferable source-to-target approach
CORE-003,methodological_application,Overview of retrospective data harmonisation in the MINDMAP project: process and results,Hofer et al.,2020,10.1136/jech-2020-214259,https://pubmed.ncbi.nlm.nih.gov/33184054/,DataSchema and harmonisation potential,ADAPT,Useful implementation example
CORE-004,glossary,Measurement equivalence: a glossary for comparative population health research,Morris,2018,10.1136/jech-2017-209962,https://pubmed.ncbi.nlm.nih.gov/29511034/,Vocabulary for non-equivalence,ADOPT,Supports multidimensional compatibility assessment
CORE-005,validation_study,Data Harmonization in Aging Research: Not so Fast,McHugh et al.,2016,10.1080/0361073X.2015.1085748,https://pubmed.ncbi.nlm.nih.gov/26524232/,Crosswalk and IRT validation of scales,CONSIDER,Relevant only when PaRIS and EHIS measure a sufficiently common latent construct
CORE-006,scoping_review,Statistical methods for retrospective harmonization of longitudinal epidemiological data,Zhang et al.,2026,10.1007/s10654-026-01404-3,https://pubmed.ncbi.nlm.nih.gov/42207414/,Statistical harmonisation method selection,CONSIDER,Current overview; distinguish direct variables from latent constructs
CORE-007,standard,DDI Lifecycle 3.3 Data Description,DDI Alliance,2020,,https://docs.ddialliance.org/DDI-Lifecycle/guide/Specific%20Structures/Data%20Description/,Concept-universe-representation metadata model,ADAPT,Basis for represented variables and source implementations
CORE-008,official_documentation,PaRIS Public Use Files,OECD,2026,,https://www.oecd.org/en/data/datasets/paris-public-use-files.html,Primary PaRIS source documentation,ADOPT,Defines Cycle 1 PUF population and materials
CORE-009,official_documentation,European Health Interview Survey reference metadata,Eurostat,2026,,https://ec.europa.eu/eurostat/cache/metadata/en/hlth_det_esms.htm,Primary EHIS design and comparability documentation,ADOPT,Documents wave timing coverage and implementation
CORE-010,official_report,Quality report of the third wave of the European health interview survey,Eurostat,2022,10.2785/081621,https://ec.europa.eu/eurostat/web/products-statistical-reports/-/ks-ft-22-002,Country-level quality and comparability,ADOPT,Required for national deviations and sensitivity analyses
