record_id,citation,document_type,studies_or_surveys,population,variable_types,conceptual_model,target_definition,compatibility_dimensions,harmonisation_method,missing_data,validation,sensitivity,software_or_infrastructure,provenance,limitations,paris_ehis_implication,disposition,reviewer,review_date
PMID-40791144,"Petri-Romão P; Stoffers-Winterling J; Doerschner C; Jurgeit J; Gödde P; Hecker I; Melchior M; Czepiel D; Witteveen A; van der Ven E; Sijbrandij M; Mediavilla R; Ayuso-Mateos JL; Smith P; Lorant V; Monistrol Mula A; Haro Abad JM; Gémes K; Mittendorder-Rutz E; Monzio Compagnoni M; Lora A; Caggiu G; Conflitti C; Kalisch R; Lieb K (2025). Co-RESPOND: a federated network of cohorts on mental health and adversity during the COVID-19 pandemic. Challenges, solutions and recommendations for retrospective data harmonization.",Harmonisation framework and implementation,"Multiple cohorts, surveys, or methodological literature",Study-specific populations; methodological focus,Mixed epidemiological variables,Study-specific or reviewed framework,Relevant but not always formalised as a target variable,"Concept, population, measurement, format and study procedures",Conceptual mapping and documented transformation,Retain structural absence and study-specific missingness; assess by target and method,Method- or study-specific validation,"Compare plausible mappings, populations, transformations, or statistical assumptions",Federated or metadata-driven research infrastructure,"Version mappings, algorithms, sources, decisions and generated outputs","Transferability depends on survey purpose, population and available metadata",Directly informs protocol and data model,ADOPT_OR_ADAPT,Codex; investigator confirmation required,2026-08-21
PMID-38365871,Jacobson LP; Parker CB; Cella D; Mroczek DK; Lester BM; program collaborators for Environmental influences on Child Health Outcomes (2024). Approaches to protocol standardization and data harmonization in the ECHO-wide cohort study.,Harmonisation framework and implementation,"Multiple cohorts, surveys, or methodological literature",Study-specific populations; methodological focus,Mixed epidemiological variables,Study-specific or reviewed framework,Relevant but not always formalised as a target variable,"Concept, population, measurement, format and study procedures",Conceptual mapping and documented transformation,Retain structural absence and study-specific missingness; assess by target and method,Method- or study-specific validation,"Compare plausible mappings, populations, transformations, or statistical assumptions",Not prescriptive for this project,"Version mappings, algorithms, sources, decisions and generated outputs","Transferability depends on survey purpose, population and available metadata",Directly informs protocol and data model,ADOPT_OR_ADAPT,Codex; investigator confirmation required,2026-08-21
PMID-35957574,Fortier I; Wey TW; Bergeron J; Pinot de Moira A; Nybo-Andersen AM; Bishop T; Murtagh MJ; Miočević M; Swertz MA; van Enckevort E; Marcon Y; Mayrhofer MT; Ornelas JP; Sebert S; Santos AC; Rocha A; Wilson RC; Griffith LE; Burton P (2023). Life course of retrospective harmonization initiatives: key elements to consider.,Harmonisation framework and implementation,"Multiple cohorts, surveys, or methodological literature",Study-specific populations; methodological focus,Mixed epidemiological variables,Study-specific or reviewed framework,Relevant but not always formalised as a target variable,"Concept, population, measurement, format and study procedures",Conceptual mapping and documented transformation,Retain structural absence and study-specific missingness; assess by target and method,Method- or study-specific validation,"Compare plausible mappings, populations, transformations, or statistical assumptions",Not prescriptive for this project,"Version mappings, algorithms, sources, decisions and generated outputs","Transferability depends on survey purpose, population and available metadata",Directly informs protocol and data model,ADOPT_OR_ADAPT,Codex; investigator confirmation required,2026-08-21
PMID-37464990,Shaaban CE; Tudorascu DL; Glymour MM; Cohen AD; Thurston RC; Snyder HM; Hohman TJ; Mukherjee S; Yu L; Snitz BE (2022). A guide for researchers seeking training in retrospective data harmonization for population neuroscience studies of Alzheimer's disease and related dementias.,Harmonisation framework and implementation,"Multiple cohorts, surveys, or methodological literature",Study-specific populations; methodological focus,Mixed epidemiological variables,Study-specific or reviewed framework,Relevant but not always formalised as a target variable,"Concept, population, measurement, format and study procedures",Conceptual mapping and documented transformation,Retain structural absence and study-specific missingness; assess by target and method,Method- or study-specific validation,"Compare plausible mappings, populations, transformations, or statistical assumptions",Not prescriptive for this project,"Version mappings, algorithms, sources, decisions and generated outputs","Transferability depends on survey purpose, population and available metadata",Directly informs protocol and data model,ADOPT_OR_ADAPT,Codex; investigator confirmation required,2026-08-21
PMID-33184054,Wey TW; Doiron D; Wissa R; Fabre G; Motoc I; Noordzij JM; Ruiz M; Timmermans E; van Lenthe FJ; Bobak M; Chaix B; Krokstad S; Raina P; Sund ER; Beenackers MA; Fortier I (2021). Overview of retrospective data harmonisation in the MINDMAP project: process and results.,Harmonisation framework and implementation,"Multiple cohorts, surveys, or methodological literature",Study-specific populations; methodological focus,Mixed epidemiological variables,Target-variable/DataSchema model,Defined before study-specific algorithms,"Concept, population, measurement, format and study procedures",Study-specific processing algorithms to a common target,Retain structural absence and study-specific missingness; assess by target and method,Harmonisation potential and output quality assessment,"Compare plausible mappings, populations, transformations, or statistical assumptions",Federated or metadata-driven research infrastructure,"Version mappings, algorithms, sources, decisions and generated outputs","Transferability depends on survey purpose, population and available metadata",Directly informs protocol and data model,ADOPT_OR_ADAPT,Codex; investigator confirmation required,2026-08-21
PMID-31018973,Fortier I; Dragieva N; Saliba M; Craig C; Robson PJ; with the Canadian Partnership for Tomorrow Project’s scientific directors and the Harmonization Standing Committee (2019). Harmonization of the Health and Risk Factor Questionnaire data of the Canadian Partnership for Tomorrow Project: a descriptive analysis.,Harmonisation framework and implementation,"Multiple cohorts, surveys, or methodological literature",Study-specific populations; methodological focus,Mixed epidemiological variables,Study-specific or reviewed framework,Relevant but not always formalised as a target variable,"Concept, population, measurement, format and study procedures",Conceptual mapping and documented transformation,Retain structural absence and study-specific missingness; assess by target and method,Method- or study-specific validation,"Compare plausible mappings, populations, transformations, or statistical assumptions",Not prescriptive for this project,"Version mappings, algorithms, sources, decisions and generated outputs","Transferability depends on survey purpose, population and available metadata",Directly informs protocol and data model,ADOPT_OR_ADAPT,Codex; investigator confirmation required,2026-08-21
PMID-27272186,Fortier I; Raina P; Van den Heuvel ER; Griffith LE; Craig C; Saliba M; Doiron D; Stolk RP; Knoppers BM; Ferretti V; Granda P; Burton P (2017). Maelstrom Research guidelines for rigorous retrospective data harmonization.,Harmonisation framework and implementation,"Multiple cohorts, surveys, or methodological literature",Study-specific populations; methodological focus,Mixed epidemiological variables,Maelstrom stepwise retrospective harmonisation,Defined before study-specific algorithms,"Concept, population, measurement, format and study procedures",Conceptual mapping and documented transformation,Retain structural absence and study-specific missingness; assess by target and method,Harmonisation potential and output quality assessment,"Compare plausible mappings, populations, transformations, or statistical assumptions",Not prescriptive for this project,"Version mappings, algorithms, sources, decisions and generated outputs","Transferability depends on survey purpose, population and available metadata",Directly informs protocol and data model,ADOPT_OR_ADAPT,Codex; investigator confirmation required,2026-08-21
PMID-24257327,Doiron D; Burton P; Marcon Y; Gaye A; Wolffenbuttel BHR; Perola M; Stolk RP; Foco L; Minelli C; Waldenberger M; Holle R; Kvaløy K; Hillege HL; Tassé AM; Ferretti V; Fortier I (2013). Data harmonization and federated analysis of population-based studies: the BioSHaRE project.,Harmonisation framework and implementation,"Multiple cohorts, surveys, or methodological literature",Study-specific populations; methodological focus,Mixed epidemiological variables,Target-variable/DataSchema model,Defined before study-specific algorithms,"Concept, population, measurement, format and study procedures",Study-specific processing algorithms to a common target,Retain structural absence and study-specific missingness; assess by target and method,Harmonisation potential and output quality assessment,"Compare plausible mappings, populations, transformations, or statistical assumptions",Federated or metadata-driven research infrastructure,"Version mappings, algorithms, sources, decisions and generated outputs","Transferability depends on survey purpose, population and available metadata",Directly informs protocol and data model,ADOPT_OR_ADAPT,Codex; investigator confirmation required,2026-08-21
PMID-42207414,Zhang J; Behrendt J; Schultz T; Aleksandrova K; Iqbal K; Pigeot I; Börnhorst C (2026). Statistical methods for retrospective harmonization of longitudinal epidemiological data: a scoping review.,Measurement equivalence and statistical linking,"Multiple cohorts, surveys, or methodological literature",Study-specific populations; methodological focus,Observed variables and latent constructs,Study-specific or reviewed framework,Relevant but not always formalised as a target variable,"Concept, population, measurement, format and study procedures","Distribution-based, proportion-score and latent-variable methods",Retain structural absence and study-specific missingness; assess by target and method,Method- or study-specific validation,"Compare plausible mappings, populations, transformations, or statistical assumptions",Not prescriptive for this project,"Version mappings, algorithms, sources, decisions and generated outputs",Statistical methods depend strongly on scale and target type,Directly informs protocol and data model,ADOPT_OR_ADAPT,Codex; investigator confirmation required,2026-08-21
PMID-29511034,Morris KA (2018). Measurement equivalence: a glossary for comparative population health research.,Measurement equivalence and statistical linking,"Multiple cohorts, surveys, or methodological literature",Study-specific populations; methodological focus,Mixed epidemiological variables,Measurement non-equivalence vocabulary,Relevant but not always formalised as a target variable,"Construct, item, response process, population and context",Conceptual mapping and documented transformation,Retain structural absence and study-specific missingness; assess by target and method,Method- or study-specific validation,"Compare plausible mappings, populations, transformations, or statistical assumptions",Not prescriptive for this project,"Version mappings, algorithms, sources, decisions and generated outputs","Transferability depends on survey purpose, population and available metadata",Directly informs protocol and data model,ADOPT_OR_ADAPT,Codex; investigator confirmation required,2026-08-21
