record_id,pmid,doi,title,authors,year,journal,pubmed_url,evidence_tier,primary_theme,project_use,full_text_priority
PMID-40791144,40791144,10.1080/20008066.2025.2517920,"Co-RESPOND: a federated network of cohorts on mental health and adversity during the COVID-19 pandemic. Challenges, solutions and recommendations for retrospective data harmonization.",Petri-Romão P; Stoffers-Winterling J; Doerschner C; Jurgeit J; Gödde P; Hecker I; Melchior M; Czepiel D; Witteveen A; van der Ven E; Sijbrandij M; Mediavilla R; Ayuso-Mateos JL; Smith P; Lorant V; Monistrol Mula A; Haro Abad JM; Gémes K; Mittendorder-Rutz E; Monzio Compagnoni M; Lora A; Caggiu G; Conflitti C; Kalisch R; Lieb K,2025,European journal of psychotraumatology,https://pubmed.ncbi.nlm.nih.gov/40791144/,CORE,Harmonisation framework and implementation,Directly informs protocol and data model,HIGH
PMID-38365871,38365871,10.1038/s41390-024-03039-0,Approaches to protocol standardization and data harmonization in the ECHO-wide cohort study.,Jacobson LP; Parker CB; Cella D; Mroczek DK; Lester BM; program collaborators for Environmental influences on Child Health Outcomes,2024,Pediatric research,https://pubmed.ncbi.nlm.nih.gov/38365871/,CORE,Harmonisation framework and implementation,Directly informs protocol and data model,HIGH
PMID-35957574,35957574,10.1017/S2040174422000460,Life course of retrospective harmonization initiatives: key elements to consider.,Fortier I; Wey TW; Bergeron J; Pinot de Moira A; Nybo-Andersen AM; Bishop T; Murtagh MJ; Miočević M; Swertz MA; van Enckevort E; Marcon Y; Mayrhofer MT; Ornelas JP; Sebert S; Santos AC; Rocha A; Wilson RC; Griffith LE; Burton P,2023,Journal of developmental origins of health and disease,https://pubmed.ncbi.nlm.nih.gov/35957574/,CORE,Harmonisation framework and implementation,Directly informs protocol and data model,HIGH
PMID-37464990,37464990,10.3389/fnimg.2022.978350,A guide for researchers seeking training in retrospective data harmonization for population neuroscience studies of Alzheimer's disease and related dementias.,Shaaban CE; Tudorascu DL; Glymour MM; Cohen AD; Thurston RC; Snyder HM; Hohman TJ; Mukherjee S; Yu L; Snitz BE,2022,Frontiers in neuroimaging,https://pubmed.ncbi.nlm.nih.gov/37464990/,CORE,Harmonisation framework and implementation,Directly informs protocol and data model,HIGH
PMID-33184054,33184054,10.1136/jech-2020-214259,Overview of retrospective data harmonisation in the MINDMAP project: process and results.,Wey TW; Doiron D; Wissa R; Fabre G; Motoc I; Noordzij JM; Ruiz M; Timmermans E; van Lenthe FJ; Bobak M; Chaix B; Krokstad S; Raina P; Sund ER; Beenackers MA; Fortier I,2021,Journal of epidemiology and community health,https://pubmed.ncbi.nlm.nih.gov/33184054/,CORE,Harmonisation framework and implementation,Directly informs protocol and data model,HIGH
PMID-31018973,31018973,10.9778/cmajo.20180062,Harmonization of the Health and Risk Factor Questionnaire data of the Canadian Partnership for Tomorrow Project: a descriptive analysis.,Fortier I; Dragieva N; Saliba M; Craig C; Robson PJ; with the Canadian Partnership for Tomorrow Project’s scientific directors and the Harmonization Standing Committee,2019,CMAJ open,https://pubmed.ncbi.nlm.nih.gov/31018973/,CORE,Harmonisation framework and implementation,Directly informs protocol and data model,HIGH
PMID-27272186,27272186,10.1093/ije/dyw075,Maelstrom Research guidelines for rigorous retrospective data harmonization.,Fortier I; Raina P; Van den Heuvel ER; Griffith LE; Craig C; Saliba M; Doiron D; Stolk RP; Knoppers BM; Ferretti V; Granda P; Burton P,2017,International journal of epidemiology,https://pubmed.ncbi.nlm.nih.gov/27272186/,CORE,Harmonisation framework and implementation,Directly informs protocol and data model,HIGH
PMID-24257327,24257327,10.1186/1742-7622-10-12,Data harmonization and federated analysis of population-based studies: the BioSHaRE project.,Doiron D; Burton P; Marcon Y; Gaye A; Wolffenbuttel BHR; Perola M; Stolk RP; Foco L; Minelli C; Waldenberger M; Holle R; Kvaløy K; Hillege HL; Tassé AM; Ferretti V; Fortier I,2013,Emerging themes in epidemiology,https://pubmed.ncbi.nlm.nih.gov/24257327/,CORE,Harmonisation framework and implementation,Directly informs protocol and data model,HIGH
PMID-42207414,42207414,10.1007/s10654-026-01404-3,Statistical methods for retrospective harmonization of longitudinal epidemiological data: a scoping review.,Zhang J; Behrendt J; Schultz T; Aleksandrova K; Iqbal K; Pigeot I; Börnhorst C,2026,European journal of epidemiology,https://pubmed.ncbi.nlm.nih.gov/42207414/,CORE,Measurement equivalence and statistical linking,Directly informs protocol and data model,HIGH
PMID-29511034,29511034,10.1136/jech-2017-209962,Measurement equivalence: a glossary for comparative population health research.,Morris KA,2018,Journal of epidemiology and community health,https://pubmed.ncbi.nlm.nih.gov/29511034/,CORE,Measurement equivalence and statistical linking,Directly informs protocol and data model,HIGH
PMID-38354027,38354027,10.2196/52967,Use of Metadata-Driven Approaches for Data Harmonization in the Medical Domain: Scoping Review.,Peng Y; Bathelt F; Gebler R; Gött R; Heidenreich A; Henke E; Kadioglu D; Lorenz S; Vengadeswaran A; Sedlmayr M,2024,JMIR medical informatics,https://pubmed.ncbi.nlm.nih.gov/38354027/,CORE,Metadata and provenance,Directly informs protocol and data model,HIGH
PMID-39174334,39174334,10.1136/bmjqs-2024-017301,Development of the Patient-Reported Indicator Surveys (PaRIS) conceptual framework to monitor and improve the performance of primary care for people living with chronic conditions.,Valderas JM; Porter I; Martin-Delgado J; Rijken M; de Jong J; Groene O; Bloemeke-Cammin J; Sunol R; Williams R; Ballester M; de Bienassis K; Kendir C; Guanais F; de Boer D; van den Berg M,2025,BMJ quality & safety,https://pubmed.ncbi.nlm.nih.gov/39174334/,CORE,PaRIS primary methods,Directly informs protocol and data model,HIGH
PMID-40998583,40998583,10.1136/bmjqs-2025-018548,International survey of people living with chronic conditions: development and evaluation of the PaRIS Patient Questionnaire (PaRIS-PQ) in 18 countries.,Valderas JM; Porter I; Evans JP; Heijmans M; Rijken M; Groene O; Bloemeke-Cammin J; Sunol R; Williams R; Ballester M; de Bienassis K; Kendir C; Guanais F; de Boer D; van den Berg M,2025,BMJ quality & safety,https://pubmed.ncbi.nlm.nih.gov/40998583/,CORE,PaRIS primary methods,Directly informs protocol and data model,HIGH
PMID-38953657,38953657,10.1111/jphd.12632,Evaluating the harmonization potential of oral health-related questionnaires in national longitudinal birth and child cohort surveys.,Sharma V; O'Sullivan M; Cassetti O; Winning L; O'Sullivan A; Crowe M,2024,Journal of public health dentistry,https://pubmed.ncbi.nlm.nih.gov/38953657/,CORE,Pre-statistical harmonisation potential,Directly informs protocol and data model,HIGH
PMID-34689753,34689753,10.1186/s12874-021-01431-6,Pre-statistical harmonization of behavrioal instruments across eight surveys and trials.,Chen D; Jutkowitz E; Iosepovici SL; Lin JC; Gross AL,2021,BMC medical research methodology,https://pubmed.ncbi.nlm.nih.gov/34689753/,CORE,Pre-statistical harmonisation potential,Directly informs protocol and data model,HIGH
PMID-37332385,37332385,10.1016/j.lanepe.2023.100659,Reliability and cross-country equivalence of the 8-item version of the Patient Health Questionnaire (PHQ-8) for the assessment of depression: results from 27 countries in Europe.,Arias de la Torre J; Vilagut G; Ronaldson A; Valderas JM; Bakolis I; Dregan A; Molina AJ; Navarro-Mateu F; Pérez K; Bartoll-Roca X; Elices M; Pérez-Sola V; Serrano-Blanco A; Martín V; Alonso J,2023,The Lancet regional health. Europe,https://pubmed.ncbi.nlm.nih.gov/37332385/,APPLIED,EHIS comparability evidence,Supports operational criteria and sensitivity analyses,MEDIUM
PMID-35618987,35618987,10.3758/s13428-022-01867-8,The effects of survey mode on self-reported psychological functioning: Measurement invariance and latent mean comparison across face-to-face and web modes.,Zager Kocjan G; Lavtar D; Sočan G,2023,Behavior research methods,https://pubmed.ncbi.nlm.nih.gov/35618987/,APPLIED,EHIS comparability evidence,Supports operational criteria and sensitivity analyses,MEDIUM
PMID-33352669,33352669,10.3390/ijerph17249531,How Many Older Informal Caregivers Are There in Europe? Comparison of Estimates of Their Prevalence from Three European Surveys.,Tur-Sinai A; Teti A; Rommel A; Hlebec V; Lamura G,2020,International journal of environmental research and public health,https://pubmed.ncbi.nlm.nih.gov/33352669/,APPLIED,EHIS comparability evidence,Supports operational criteria and sensitivity analyses,MEDIUM
PMID-30478617,30478617,10.1007/s00038-018-1174-7,Educational inequalities in Global Activity Limitation Indicator disability in 28 European Countries: Does the choice of survey matter?,Rubio-Valverde JR; Nusselder WJ; Mackenbach JP,2019,International journal of public health,https://pubmed.ncbi.nlm.nih.gov/30478617/,APPLIED,EHIS comparability evidence,Supports operational criteria and sensitivity analyses,MEDIUM
PMID-27215626,27215626,10.1186/s12966-016-0386-6,Physical activity surveillance in the European Union: reliability and validity of the European Health Interview Survey-Physical Activity Questionnaire (EHIS-PAQ).,Baumeister SE; Ricci C; Kohler S; Fischer B; Töpfer C; Finger JD; Leitzmann MF,2016,The international journal of behavioral nutrition and physical activity,https://pubmed.ncbi.nlm.nih.gov/27215626/,APPLIED,EHIS comparability evidence,Supports operational criteria and sensitivity analyses,MEDIUM
PMID-27621257,27621257,10.1016/j.maturitas.2016.07.021,"The InterLACE study: Design, data harmonization and characteristics across 20 studies on women's health.",Mishra GD; Chung HF; Pandeya N; Dobson AJ; Jones L; Avis NE; Crawford SL; Gold EB; Brown D; Sievert LL; Brunner E; Cade JE; Burley VJ; Greenwood DC; Giles GG; Bruinsma F; Goodman A; Hayashi K; Lee JS; Mizunuma H; Kuh D; Cooper R; Hardy R; Obermeyer CM; Lee KA; Simonsen MK; Yoshizawa T; Woods NF; Mitchell ES; Hamer M; Demakakos P; Sandin S; Adami HO; Weiderpass E; Anderson D,2016,Maturitas,https://pubmed.ncbi.nlm.nih.gov/27621257/,APPLIED,Harmonisation framework and implementation,Supports operational criteria and sensitivity analyses,MEDIUM
PMID-33413280,33413280,10.1186/s12889-020-10113-9,Questionnaire choice affects the prevalence of recommended physical activity: an online survey comparing four measuring instruments within the same sample.,Stassen G; Rudolf K; Gernert M; Thiel A; Schaller A,2021,BMC public health,https://pubmed.ncbi.nlm.nih.gov/33413280/,APPLIED,Measurement equivalence and statistical linking,Supports operational criteria and sensitivity analyses,MEDIUM
PMID-38156337,38156337,10.2478/sjph-2024-0005,Patient Reported Indicator Surveys (Paris): Methodological Considerations of a Field Trial in Slovenia.,Ambrož M; Kendir C; Boerma W; Klemenc-Ketiš Z,2024,Zdravstveno varstvo,https://pubmed.ncbi.nlm.nih.gov/38156337/,APPLIED,PaRIS primary methods,Supports operational criteria and sensitivity analyses,MEDIUM
PMID-35252528,35252528,10.1016/j.smhl.2021.100263,A review of harmonization methods for studying dietary patterns.,Gurugubelli VS; Fang H; Shikany JM; Balkus SV; Rumbut J; Ngo H; Wang H; Allison JJ; Steffen LM,2022,"Smart health (Amsterdam, Netherlands)",https://pubmed.ncbi.nlm.nih.gov/35252528/,APPLIED,Pre-statistical harmonisation potential,Supports operational criteria and sensitivity analyses,MEDIUM
