strategy_id,pmid,doi,title,abstract,authors,journal,year,publication_types,pubmed_url,retrieved_date,doi_normalized
NR-PUBMED-02,11683561,10.1079/phn2001153,Food composition issues--implications for the development of food-based dietary guidelines.,"Sound food composition databases that are both comprehensive and representative of available foods are an essential basic tool to develop Food Based Dietary Guidelines (FBDG). The main drawbacks of current food composition databases available in the European Union are: partial coverage of foods and nutrients, variability of analytical data, lack of accuracy in the description of food items, need for harmonisation of the expression of nutrients. An inappropriate use of these databases could lead to gross errors in the assessment of the nutrient intake levels, in the identification of the major sources of a nutrient, in the comparison of data between countries and in the analysis of time trends. Inadequacy of food composition data is, in part, responsible for the failure to understand some relationships between nutrient intakes and health or disease and for difficulties in establishing quantitative dietary guidelines in terms of nutrients. Recommendations are made for the compilation of future food composition databases and tools are proposed to enhance the quality of existing data. A careful study of the food composition databases is always necessary before nutrition recommendations are given and before trends in nutrient intakes are interpreted.",Leclercq C; Valsta LM; Turrini A,Public health nutrition,2001,Journal Article; Review,https://pubmed.ncbi.nlm.nih.gov/11683561/,2026-08-20,10.1079/phn2001153
NR-PUBMED-02,11732428,10.20506/rst.20.3.1315,Antimicrobial resistance: harmonisation of national antimicrobial resistance monitoring and surveillance programmes in animals and in animal-derived food.,"A guideline on the harmonisation of national antimicrobial resistance monitoring and surveillance programmes in animals and animal-derived foods has been developed by the Ad hoc Group of experts on antimicrobial resistance of the Office International des Epizooties. The objective of the guideline is to allow the generation of comparable data from various national surveillance and monitoring systems in order to compare the situations in different regions or countries and to consolidate results at the national, regional and international level. Definitions of surveillance and monitoring are provided. National systems should be able to detect the emergence of resistance, and to determine the prevalence of resistant bacteria. The resulting data should be used in the assessment of risks to public health and should contribute to the establishment of a risk management policy. Specific factors identified for harmonisation include the animal species, food commodities, sampling plans, bacterial species, antimicrobials to be tested, laboratory methods, data reporting, database structure and the structure of reports.",Franklin A; Acar J; Anthony F; Gupta R; Nicholls T; Tamura Y; Thompson S; Threlfall EJ; Vose D; van Vuuren M; White DG; Wegener HC; Costarrica ML; Office International des Epizooties Ad hoc Group,Revue scientifique et technique (International Office of Epizootics),2001,Guideline; Journal Article,https://pubmed.ncbi.nlm.nih.gov/11732428/,2026-08-20,10.20506/rst.20.3.1315
NR-PUBMED-02,11893401,10.1016/s0278-6915(01)00113-2,Assessment of intake from the diet.,"Exposure assessment is one of the key parts of the risk assessment process. Only intake of toxicologically significant amounts can lead to adverse health effects even for a relatively toxic substance. In the case of chemicals in foods this is based on three major aspects: (i) how to determine quantitatively the presence of a chemical in individual foods and diets, including its fate during the processes within the food production chain; (ii) how to determine the consumption patterns of the individual foods containing the relevant chemicals; (iii) how to integrate both the likelihood of consumers eating large amounts of the given foods and of the relevant chemical being present in these foods at high levels. The techniques used for the evaluation of these three aspects have been critically reviewed in this paper to determine those areas where the current approaches provide a solid basis for assessments and those areas where improvements are needed or desirable. For those latter areas, options for improvements are being suggested, including, for example, the development of a pan-European food composition database, activities to understand better effects of processing on individual food chemicals, harmonisation of food consumption survey methods with the option of a regular pan-European survey, evaluation of probabilistic models and the development of models to assess exposure to food allergens. In all three areas, the limitations of the approaches currently used lead to uncertainties which can either cause an over- or underestimation of real intakes and thus risks. Given these imprecisions, risk assessors tend to build in additional uncertainty factors to avoid health-relevant underestimates. This is partly done by using screening methods designed to look for ""worst case"" situations. Such worse case assumptions lead to intake estimates that are higher than reality. These screening methods are used to screen all those chemicals with a safe intake distribution. For chemicals with a potential risk, more information is needed to allow more refined screening or even the most accurate estimation. More information and more refined methods however, require more resources. The ultimate aims are: (1) to obtain appropriate estimations for the presence and quantity of a given chemical in a food and in the diet in general; (2) to assess the consumption patterns for the foods containing these substances, including especially those parts of the population with high consumption and thus potentially high intakes; and (3) to develop and apply tools to predict reliably the likelihood of high end consumption with the presence of high levels of the relevant substances. It has thus been demonstrated that a tiered approach at all three steps can be helpful to optimise the use of the available resources: if relatively crude tools - designed to provide a ""worst case"" estimate - do not suggest a toxicologically significant exposure (or a relevant deficit of a particular nutrient) it may not be necessary to use more sophisticated tools. These will be needed if initially high intakes are indicated for at least parts of the population. Existing pragmatic approaches are a first crude step to model food chemical intake. It is recommended to extend, refine and validate this approach in the near future. This has to result in a cost-effective exposure assessment system to be used for existing and potential categories of chemicals. This system of knowledge (with information on sensitivities, accuracy, etc.) will guide future data collection.",Kroes R; Müller D; Lambe J; Löwik MR; van Klaveren J; Kleiner J; Massey R; Mayer S; Urieta I; Verger P; Visconti A,Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association,2002,Journal Article; Review,https://pubmed.ncbi.nlm.nih.gov/11893401/,2026-08-20,10.1016/s0278-6915(01)00113-2
NR-PUBMED-03,16043316,10.1016/j.maturitas.2005.06.009,Prevalence and correlates of hormonal therapy among Israeli women in the post-WHI era.,"Following the results of recent randomized controlled trials on the risks and benefits of the long-term use of hormonal therapy (HT), practice guidelines regarding HT use have been revised. The aim of the study is to assess the prevalence and the correlates of HT use in Israel in 2003. This is a cross-sectional study, conducted on a representative sample of the general population in Israel aged 21 years and over. The study questionnaire is based on the European Health Interview Survey (EUROHIS) project, aimed to develop uniform study tools, to enable international comparisons. The current module of the survey focused on women's health, and telephone interviews were conducted with 1396 women by trained interviewers in the year 2003. Out of a total of 1396 participants, 535 were defined as peri- or postmenopausal (38%). Of them, 9.9% were currently using HT (11.7% and 2.9% among the Jewish and Arab participants, respectively), and their mean age (S.D.) was 57.7 (6.5) years. Mean duration of HT use was 8.0 (5.5) years. Treatment of menopausal symptoms was the most common reason for HT use (69.2%). Significant correlates of HT use were age, being secular and having seen a gynecologist in the previous 12 months. Current HT use rates reported are lower than those reported 3 years ago for Israeli women. Awareness of both physicians and patients to the WHI results (2002), may have accounted for this trend, at least partially.",Keinan-Boker L; Dictiar R; Garty N; Green MS,Maturitas,2005,Journal Article,https://pubmed.ncbi.nlm.nih.gov/16043316/,2026-08-20,10.1016/j.maturitas.2005.06.009
NR-PUBMED-02,16500743,10.1016/j.ejogrb.2005.11.047,Reproductive health indicators in the European Union: The REPROSTAT project.,"Our objective was to develop a set of indicators for monitoring and describing reproductive health in the European Union (EU) that reflect common concerns of the different Member States. Ideally, the indicators would possibly draw upon existing data sources. The REPROSTAT project: (i) conducted a review of existing recommendations on reproductive health indicators; (ii) suggested a set of initial indicators in consultation with representatives from relevant outside agencies and organisations; and (iii) invited 200 reproductive health experts throughout Europe to review the provisional set of indicators. The feasibility of using the REPROSTAT indicators was tested for two countries, Italy and Germany. A final set of 13 core indicators was developed, as well as another recommended indicator and four that needed further development. The pilot use of the indicators in Italy and Germany provided useful information about availability of data in different Member States. The REPROSTAT project developed a set of reproductive health indicators believed to be of relevance for planning, prevention, and caring within the EU. Further, harmonisation of data from different Member States will be needed if the benefits of these indicators are to be fully realised.",Temmerman M; Foster LB; Hannaford P; Cattaneo A; Olsen J; Bloemenkamp KW; Jahn A; da Silva MO,"European journal of obstetrics, gynecology, and reproductive biology",2006,"Journal Article; Research Support, Non-U.S. Gov't; Review",https://pubmed.ncbi.nlm.nih.gov/16500743/,2026-08-20,10.1016/j.ejogrb.2005.11.047
NR-PUBMED-02,17060829,10.1097/01.mlr.0000245451.67862.57,Assessing and understanding measurement equivalence in health outcome measures. Issues for further quantitative and qualitative inquiry.,,McHorney CA; Fleishman JA,Medical care,2006,Journal Article,https://pubmed.ncbi.nlm.nih.gov/17060829/,2026-08-20,10.1097/01.mlr.0000245451.67862.57
NR-PUBMED-02,17060838,10.1097/01.mlr.0000245438.73837.89,An essay on measurement and factorial invariance.,"Analysis of subgroups such as different ethnic, language, or education groups selected from among a parent population is common in health disparities research. One goal of such analyses is to examine measurement equivalence, which includes both qualitative review of the meaning of items as well as quantitative examination of different levels of factorial invariance and differential item functioning. The purpose of this essay is to review the definitions and assumptions associated with factorial invariance, placing this formulation in the context of bias, fairness, and equity. The connection between the concepts of factorial invariance and item bias (differential item functioning) using a variant of item response theory is discussed. The situations under which different forms of invariance (weak, strong, and strict) are required are discussed. Establishing factorial invariance involves a hierarchy of levels that include tests of weak, strong, and strict invariance. Pattern (metric or weak) factorial invariance implies that the regression slopes are invariant across groups. Pattern invariance requires only invariant factor loadings. Strong factorial invariance implies that the conditional expectation of the response, given the common and specific factors, is invariant across groups. Strong factorial invariance requires that specific factor means (represented as invariant intercepts) also be identical across groups. Strict factorial invariance implies that, in addition, the conditional variance of the response, given the common and specific factors, is invariant across groups. Strict factorial invariance requires that, in addition to equal factor loadings and intercepts, the residual (specific factor plus error variable) variances are equivalent across groups. The concept of measurement invariance that is most closely aligned to that of item response theory considers the latent variable as a common factor measured by manifest variables; the specific factors can be characterized as nuisance variables. Invariance of factor loadings across studied groups is required for valid comparisons of scale score or latent variable means. Strong and strict invariance may be less important in the context of basic research in which group differences in specific factors are indicative of individual differences that are important for scientific exploration. However, for most applications in which the aim is to ensure fairness and equity, strict factorial invariance is required. Health disparities research often focuses on self-reported clinical outcomes such as quality of life that are not observed directly. Latent variable models such as factor analyses are central to establishing valid assessment of such outcomes.",Meredith W; Teresi JA,Medical care,2006,Journal Article; Review,https://pubmed.ncbi.nlm.nih.gov/17060838/,2026-08-20,10.1097/01.mlr.0000245438.73837.89
NR-PUBMED-02,18761967,10.2807/ese.13.21.18880-en,Surveillance and epidemiology of hepatitis B and C in Europe - a review.,"Hepatitis B virus (HBV) and hepatitis C virus (HCV) infections are frequent causes of acute and chronic hepatitis worldwide and leading causes for hepatic cirrhosis and cancer. There is a distinct geographical variation in HBV and HCV incidence and prevalence in the European Union (EU) and European Economic Area/European Free Trade Association (EEA/EFTA) member states and neighbouring countries. The HBV carrier prevalence ranges from 0.1 to 8.0% and that of HCV from 0.1 to 6.0%. Within the last few years, the HBV incidence has decreased while the HCV incidence has increased. Both diseases are concentrated in certain subpopulations, such as injecting drug users, with tens of times higher prevalence than in the general population. Most EU and EEA/EFTA countries have a surveillance system for HBV and HCV infections, but due to differences in system structures, reporting practices, data collection methods and case definitions used, the surveillance data are difficult to compare across countries. The harmonisation and strengthening of HBV and HCV surveillance at the European level is of utmost importance to obtain more robust data on these diseases.",Rantala M; van de Laar MJ,Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin,2008,Journal Article; Review,https://pubmed.ncbi.nlm.nih.gov/18761967/,2026-08-20,10.2807/ese.13.21.18880-en
NR-PUBMED-02,19246252,10.1016/j.jcf.2009.01.004,European best practice guidelines for cystic fibrosis neonatal screening.,"There is wide agreement on the benefits of NBS for CF in terms of lowered disease severity, decreased burden of care, and reduced costs. Risks are mainly associated with disclosure of carrier status and diagnostic uncertainty. When starting a NBS programme for CF it is important to take precautions in order to minimise avoidable risks and maximise benefits. In Europe more than 25 screening programmes have been developed, with quite marked variation in protocol design. However, given the wide geographic, ethnic, and economic variations, complete harmonisation of protocols is not appropriate. There is little evidence to support the use of IRT alone as a second tier, without involving DNA mutation analysis. However, if IRT/DNA testing does not lead to the desired specificity/sensitivity ratio in a population, a screening programme based on IRT/IRT may be used. Sweat chloride concentration remains the gold standard for discriminating between NBS false and true positives, but age-related changes in sweat chloride should be taken into account. CF phenotypes associated with less severe disease often have intermediate or normal sweat chloride concentrations. Programmes should include arrangements for counselling and management of infants where the diagnosis is not clear-cut. All newborns identified by NBS should be managed according to internationally accepted guidelines. CF centre care and the availability of necessary medication are essential prerequisites before the introduction of NBS programmes. Clear explanation to families of the process of screening and of implications of normal and abnormal results is central to the success of CF NBS programmes. Effective communication is especially important when parents are told that their child is affected or is a carrier. When establishing a NBS programme for CF, attention should be given to ensuring timely and appropriate processing of results, to minimise potential stress for families.",Castellani C; Southern KW; Brownlee K; Dankert Roelse J; Duff A; Farrell M; Mehta A; Munck A; Pollitt R; Sermet-Gaudelus I; Wilcken B; Ballmann M; Corbetta C; de Monestrol I; Farrell P; Feilcke M; Férec C; Gartner S; Gaskin K; Hammermann J; Kashirskaya N; Loeber G; Macek M; Mehta G; Reiman A; Rizzotti P; Sammon A; Sands D; Smyth A; Sommerburg O; Torresani T; Travert G; Vernooij A; Elborn S,Journal of cystic fibrosis : official journal of the European Cystic Fibrosis Society,2009,"Journal Article; Practice Guideline; Research Support, Non-U.S. Gov't",https://pubmed.ncbi.nlm.nih.gov/19246252/,2026-08-20,10.1016/j.jcf.2009.01.004
NR-PUBMED-02,19330537,10.1007/s11136-009-9470-6,Measurement equivalence of osteoporosis-specific and general quality-of-life instruments in Aboriginal and non-Aboriginal women.,"To test the measurement equivalence (i.e., invariance) of osteoporosis-specific and general health-related quality-of-life (HRQOL) instruments in Canadian Aboriginal and non-Aboriginal women. A total of 258 Aboriginal and 181 non-Aboriginal women were recruited to the First Nations Bone Health Study from rural and urban sites in the province of Manitoba, Canada. The Medical Outcomes Study Short Form-36 (SF-36) and the mini-Osteoporosis Quality of Life Questionnaire (mini-OQLQ) were administered to study participants by trained interviewers. Confirmatory factor analysis techniques were adopted to test hypotheses about four forms of invariance for the two groups using likelihood ratio tests and other goodness-of-fit indices. For the mini-OQLQ instrument configural and metric invariance were satisfied, indicating that both groups have the same conceptualization of osteoporotic quality of life and the concepts have equivalent meaning. However, scalar and complete invariance were not satisfied for this instrument. The SF-36 exhibited complete invariance in the two groups. Measurement equivalence, which is required to conduct valid group comparisons, was not demonstrated for the disease-specific quality-of-life instrument but was supported for the general instrument. Ethnicity appears to influence responses about the effects of osteoporosis on quality of life.",Lix LM; Metge C; Leslie WD,"Quality of life research : an international journal of quality of life aspects of treatment, care and rehabilitation",2009,"Journal Article; Research Support, Non-U.S. Gov't",https://pubmed.ncbi.nlm.nih.gov/19330537/,2026-08-20,10.1007/s11136-009-9470-6
