strategy_id,subquery_id,database,objective,retrieval_date,query,filters,records_available,retrieval_cap
NR-SCOPUS-01,NR-SCOPUS-01-01,Scopus,Retrospective harmonisation methods,2026-08-22,"TITLE-ABS-KEY(""data harmonization"" AND (survey* OR cohort* OR epidemiolog*) AND (method* OR framework* OR guideline* OR protocol* OR comparab* OR valid*))",No date or language filters; STANDARD view; page size 25,493,1000
NR-SCOPUS-01,NR-SCOPUS-01-02,Scopus,Retrospective harmonisation methods,2026-08-22,"TITLE-ABS-KEY(""data harmonisation"" AND (survey* OR cohort* OR epidemiolog*) AND (method* OR framework* OR guideline* OR protocol* OR comparab* OR valid*))",No date or language filters; STANDARD view; page size 25,493,1000
NR-SCOPUS-01,NR-SCOPUS-01-03,Scopus,Retrospective harmonisation methods,2026-08-22,"TITLE-ABS-KEY(""retrospective harmonization"" AND (survey* OR cohort* OR epidemiolog*) AND (method* OR framework* OR guideline* OR protocol* OR comparab* OR valid*))",No date or language filters; STANDARD view; page size 25,20,1000
NR-SCOPUS-01,NR-SCOPUS-01-04,Scopus,Retrospective harmonisation methods,2026-08-22,"TITLE-ABS-KEY(""retrospective harmonisation"" AND (survey* OR cohort* OR epidemiolog*) AND (method* OR framework* OR guideline* OR protocol* OR comparab* OR valid*))",No date or language filters; STANDARD view; page size 25,20,1000
NR-SCOPUS-02,NR-SCOPUS-02-01,Scopus,Measurement and questionnaire equivalence,2026-08-22,"TITLE(""measurement equivalence"") AND TITLE-ABS-KEY((survey* OR ""general population"" OR population-based OR epidemiolog*) AND (health OR ""patient reported""))",No date or language filters; STANDARD view; page size 25,59,1000
NR-SCOPUS-02,NR-SCOPUS-02-02,Scopus,Measurement and questionnaire equivalence,2026-08-22,"TITLE(""measurement invariance"") AND TITLE-ABS-KEY((survey* OR ""general population"" OR population-based OR epidemiolog*) AND (health OR ""patient reported""))",No date or language filters; STANDARD view; page size 25,319,1000
NR-SCOPUS-02,NR-SCOPUS-02-03,Scopus,Measurement and questionnaire equivalence,2026-08-22,"TITLE(""questionnaire harmonization"") AND TITLE-ABS-KEY((survey* OR ""general population"" OR population-based OR epidemiolog*) AND (health OR ""patient reported""))",No date or language filters; STANDARD view; page size 25,0,1000
NR-SCOPUS-02,NR-SCOPUS-02-04,Scopus,Measurement and questionnaire equivalence,2026-08-22,"TITLE(""questionnaire harmonisation"") AND TITLE-ABS-KEY((survey* OR ""general population"" OR population-based OR epidemiolog*) AND (health OR ""patient reported""))",No date or language filters; STANDARD view; page size 25,0,1000
NR-SCOPUS-02,NR-SCOPUS-02-05,Scopus,Measurement and questionnaire equivalence,2026-08-22,"TITLE(""common metric"") AND TITLE-ABS-KEY((survey* OR ""general population"" OR population-based OR epidemiolog*) AND (health OR ""patient reported""))",No date or language filters; STANDARD view; page size 25,20,1000
NR-SCOPUS-02,NR-SCOPUS-02-06,Scopus,Measurement and questionnaire equivalence,2026-08-22,"TITLE(""scale linking"") AND TITLE-ABS-KEY((survey* OR ""general population"" OR population-based OR epidemiolog*) AND (health OR ""patient reported""))",No date or language filters; STANDARD view; page size 25,2,1000
NR-SCOPUS-03,NR-SCOPUS-03-01,Scopus,PaRIS and EHIS applications,2026-08-22,"TITLE-ABS-KEY(""Patient-Reported Indicator Surveys"" AND (harmon* OR comparab* OR method* OR valid*))",No date or language filters; STANDARD view; page size 25,13,1000
NR-SCOPUS-03,NR-SCOPUS-03-02,Scopus,PaRIS and EHIS applications,2026-08-22,"TITLE-ABS-KEY(""Patient-Reported Indicator Survey"" AND (harmon* OR comparab* OR method* OR valid*))",No date or language filters; STANDARD view; page size 25,13,1000
NR-SCOPUS-03,NR-SCOPUS-03-03,Scopus,PaRIS and EHIS applications,2026-08-22,"TITLE-ABS-KEY(""European Health Interview Survey"" AND (harmon* OR comparab* OR method* OR valid*))",No date or language filters; STANDARD view; page size 25,262,1000
