record_id,pmid,title,stage,proposed_decision,proposed_reason,proposed_reviewer,proposed_review_date,investigator_decision,investigator_initials,confirmation_date,investigator_notes
PMID-35449545,35449545,A Secure and Reusable Software Architecture for Supporting Online Data Harmonization.,title_abstract,BACKGROUND,"Adjacent methodological or psychometric evidence useful for context, but not central to PaRIS-EHIS harmonisation",Codex; title/abstract review for investigator confirmation,2026-08-21,BACKGROUND,,2026-08-21,
PMID-37332385,37332385,Reliability and cross-country equivalence of the 8-item version of the Patient Health Questionnaire (PHQ-8) for the assessment of depression: results from 27 countries in Europe.,title_abstract,INCLUDE,"Direct methodological contribution, survey-comparability evidence, or primary PaRIS/EHIS methods relevant to the framework",Codex; title/abstract review for investigator confirmation,2026-08-21,INCLUDE,,2026-08-21,
PMID-42528936,42528936,Assessing quality of life among university students: psychometric evidence of the EUROHIS-QOL in a Latin American context.,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,EXCLUDE,,2026-08-21,
PMID-42207414,42207414,Statistical methods for retrospective harmonization of longitudinal epidemiological data: a scoping review.,title_abstract,INCLUDE,"Direct methodological contribution, survey-comparability evidence, or primary PaRIS/EHIS methods relevant to the framework",Codex; title/abstract review for investigator confirmation,2026-08-21,INCLUDE,,2026-08-21,
PMID-27272186,27272186,Maelstrom Research guidelines for rigorous retrospective data harmonization.,title_abstract,INCLUDE,"Direct methodological contribution, survey-comparability evidence, or primary PaRIS/EHIS methods relevant to the framework",Codex; title/abstract review for investigator confirmation,2026-08-21,INCLUDE,,2026-08-21,
PMID-24257327,24257327,Data harmonization and federated analysis of population-based studies: the BioSHaRE project.,title_abstract,INCLUDE,"Direct methodological contribution, survey-comparability evidence, or primary PaRIS/EHIS methods relevant to the framework",Codex; title/abstract review for investigator confirmation,2026-08-21,INCLUDE,,2026-08-21,
PMID-35957574,35957574,Life course of retrospective harmonization initiatives: key elements to consider.,title_abstract,INCLUDE,"Direct methodological contribution, survey-comparability evidence, or primary PaRIS/EHIS methods relevant to the framework",Codex; title/abstract review for investigator confirmation,2026-08-21,INCLUDE,,2026-08-21,
PMID-35618987,35618987,The effects of survey mode on self-reported psychological functioning: Measurement invariance and latent mean comparison across face-to-face and web modes.,title_abstract,INCLUDE,"Direct methodological contribution, survey-comparability evidence, or primary PaRIS/EHIS methods relevant to the framework",Codex; title/abstract review for investigator confirmation,2026-08-21,INCLUDE,,2026-08-21,
PMID-35252528,35252528,A review of harmonization methods for studying dietary patterns.,title_abstract,INCLUDE,"Direct methodological contribution, survey-comparability evidence, or primary PaRIS/EHIS methods relevant to the framework",Codex; title/abstract review for investigator confirmation,2026-08-21,INCLUDE,,2026-08-21,
PMID-33184054,33184054,Overview of retrospective data harmonisation in the MINDMAP project: process and results.,title_abstract,INCLUDE,"Direct methodological contribution, survey-comparability evidence, or primary PaRIS/EHIS methods relevant to the framework",Codex; title/abstract review for investigator confirmation,2026-08-21,INCLUDE,,2026-08-21,imp
PMID-37378690,37378690,Psychometric properties and general population reference values for PROMIS Global Health in Hungary.,title_abstract,BACKGROUND,"Adjacent methodological or psychometric evidence useful for context, but not central to PaRIS-EHIS harmonisation",Codex; title/abstract review for investigator confirmation,2026-08-21,BACKGROUND,,2026-08-21,
PMID-30382716,30382716,Measurement equivalence of PROMIS depression in Spain and the United States.,title_abstract,BACKGROUND,"Adjacent methodological or psychometric evidence useful for context, but not central to PaRIS-EHIS harmonisation",Codex; title/abstract review for investigator confirmation,2026-08-21,BACKGROUND,,2026-08-21,
PMID-26524232,26524232,Data Harmonization in Aging Research: Not so Fast.,title_abstract,INCLUDE,"Direct methodological contribution, survey-comparability evidence, or primary PaRIS/EHIS methods relevant to the framework",Codex; title/abstract review for investigator confirmation,2026-08-21,INCLUDE,,2026-08-21,
PMID-42514344,42514344,"A Systems Perspective on Lifestyle Behaviors, Excess Weight, and Healthy Longevity in the European Union.",title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,EXCLUDE,,2026-08-21,
PMID-40791144,40791144,"Co-RESPOND: a federated network of cohorts on mental health and adversity during the COVID-19 pandemic. Challenges, solutions and recommendations for retrospective data harmonization.",title_abstract,INCLUDE,"Direct methodological contribution, survey-comparability evidence, or primary PaRIS/EHIS methods relevant to the framework",Codex; title/abstract review for investigator confirmation,2026-08-21,INCLUDE,,2026-08-21,
PMID-39934642,39934642,Socio-Demographic Determinants of Mediterranean Diet Adherence: Results of the EU-National Health Interview Survey (EHIS-3).,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,EXCLUDE,,2026-08-21,
PMID-33836996,33836996,Identification and inclusion of gender factors in retrospective cohort studies: the GOING-FWD framework.,title_abstract,BACKGROUND,"Adjacent methodological or psychometric evidence useful for context, but not central to PaRIS-EHIS harmonisation",Codex; title/abstract review for investigator confirmation,2026-08-21,BACKGROUND,,2026-08-21,
PMID-33413280,33413280,Questionnaire choice affects the prevalence of recommended physical activity: an online survey comparing four measuring instruments within the same sample.,title_abstract,INCLUDE,"Direct methodological contribution, survey-comparability evidence, or primary PaRIS/EHIS methods relevant to the framework",Codex; title/abstract review for investigator confirmation,2026-08-21,INCLUDE,,2026-08-21,
PMID-33237930,33237930,"The epidemiology of muscle-strengthening exercise in Europe: A 28-country comparison including 280,605 adults.",title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,EXCLUDE,,2026-08-21,
PMID-31018973,31018973,Harmonization of the Health and Risk Factor Questionnaire data of the Canadian Partnership for Tomorrow Project: a descriptive analysis.,title_abstract,INCLUDE,"Direct methodological contribution, survey-comparability evidence, or primary PaRIS/EHIS methods relevant to the framework",Codex; title/abstract review for investigator confirmation,2026-08-21,INCLUDE,,2026-08-21,
PMID-27215626,27215626,Physical activity surveillance in the European Union: reliability and validity of the European Health Interview Survey-Physical Activity Questionnaire (EHIS-PAQ).,title_abstract,INCLUDE,"Direct methodological contribution, survey-comparability evidence, or primary PaRIS/EHIS methods relevant to the framework",Codex; title/abstract review for investigator confirmation,2026-08-21,INCLUDE,,2026-08-21,
PMID-16043316,16043316,Prevalence and correlates of hormonal therapy among Israeli women in the post-WHI era.,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,EXCLUDE,,2026-08-21,
PMID-39494216,39494216,Applying Latent Variable Models to Estimate Cumulative Exposure Burden to Chemical Mixtures and Identify Latent Exposure Subgroups: A Critical Review and Future Directions.,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,EXCLUDE,,2026-08-21,
PMID-42221536,42221536,Assessing the Structural Validity and Measurement Invariance of the Whole Person Health Index.,title_abstract,BACKGROUND,"Adjacent methodological or psychometric evidence useful for context, but not central to PaRIS-EHIS harmonisation",Codex; title/abstract review for investigator confirmation,2026-08-21,BACKGROUND,,2026-08-21,
PMID-42113613,42113613,Epidemiology of obesity in pregnancy in the Czech Republic - demographic context and clinical implications.,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,EXCLUDE,,2026-08-21,
PMID-40762058,40762058,Core Outcome Set for Studies on Cardiac Disease in Pregnancy (COSCarP): An International Delphi Consensus Study.,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,EXCLUDE,,2026-08-21,
PMID-37667811,37667811,Experience and Reporting of Postnatal Depression Across Cultures: A Comparison Using Anchoring Vignettes of Mothers in the United Kingdom and India.,title_abstract,BACKGROUND,"Adjacent methodological or psychometric evidence useful for context, but not central to PaRIS-EHIS harmonisation",Codex; title/abstract review for investigator confirmation,2026-08-21,BACKGROUND,,2026-08-21,
PMID-38639188,38639188,Injury Patterns and Gender in Italy.,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,EXCLUDE,,2026-08-21,
PMID-38531091,38531091,Measuring up: the significance of measurement invariance in cardiovascular research.,title_abstract,INCLUDE,"Direct methodological contribution, survey-comparability evidence, or primary PaRIS/EHIS methods relevant to the framework",Codex; title/abstract review for investigator confirmation,2026-08-21,INCLUDE,,2026-08-21,
PMID-38346607,38346607,Trends towards increase of Cardiovascular diseases mortality in USA: A comparison with Europe and the importance of preventive care.,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,EXCLUDE,,2026-08-21,
PMID-39042420,39042420,Uncovering Harmonization Potential in Health Care Data Through Iterative Refinement of Fast Healthcare Interoperability Resources Profiles Based on Retrospective Discrepancy Analysis: Case Study.,title_abstract,BACKGROUND,"Adjacent methodological or psychometric evidence useful for context, but not central to PaRIS-EHIS harmonisation",Codex; title/abstract review for investigator confirmation,2026-08-21,BACKGROUND,,2026-08-21,
PMID-39742385,39742385,"Utilisation of medical services in Germany and Europe - Results of the European Health Interview Survey (EHIS 3, 2018 - 2020).",title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,EXCLUDE,,2026-08-21,
PMID-37919706,37919706,"Quality of life, social support, and adherence in female patients with thyroid disorders.",title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,EXCLUDE,,2026-08-21,
PMID-36582668,36582668,Real-world demographic patterns of users of a digital primary prevention service for diabetes.,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,EXCLUDE,,2026-08-21,
PMID-36637894,36637894,Trusted Data Spaces as a Viable and Sustainable Solution for Networks of Population-Based Patient Registries.,title_abstract,BACKGROUND,"Adjacent methodological or psychometric evidence useful for context, but not central to PaRIS-EHIS harmonisation",Codex; title/abstract review for investigator confirmation,2026-08-21,BACKGROUND,,2026-08-21,
PMID-36130141,36130141,An Assessment of the Structural Validity and Measurement Invariance of the Web-Use Skills Scale for Aging Internet Users.,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,EXCLUDE,,2026-08-21,
PMID-35081452,35081452,Crosswalks between the Oxford hip and knee scores and the HOOS-12 and KOOS-12 instruments.,title_abstract,BACKGROUND,"Adjacent methodological or psychometric evidence useful for context, but not central to PaRIS-EHIS harmonisation",Codex; title/abstract review for investigator confirmation,2026-08-21,BACKGROUND,,2026-08-21,
PMID-35411334,35411334,Harmonizing Implementation and Outcome Data Across HIV Prevention and Care Studies in Resource-Constrained Settings.,title_abstract,INCLUDE,"Direct methodological contribution, survey-comparability evidence, or primary PaRIS/EHIS methods relevant to the framework",Codex; title/abstract review for investigator confirmation,2026-08-21,INCLUDE,,2026-08-21,
PMID-36011429,36011429,Measurement Invariance of the WHO-5 Well-Being Index: Evidence from 15 European Countries.,title_abstract,BACKGROUND,"Adjacent methodological or psychometric evidence useful for context, but not central to PaRIS-EHIS harmonisation",Codex; title/abstract review for investigator confirmation,2026-08-21,BACKGROUND,,2026-08-21,
PMID-34495443,34495443,Measurement invariance of the Seattle Angina Questionnaire in coronary artery disease.,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,EXCLUDE,,2026-08-21,
PMID-34372892,34372892,A rare disease patient-reported outcome measure: revision and validation of the German version of the Systemic Sclerosis Quality of Life Questionnaire (SScQoL) using the Rasch model.,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,EXCLUDE,,2026-08-21,
PMID-33352669,33352669,How Many Older Informal Caregivers Are There in Europe? Comparison of Estimates of Their Prevalence from Three European Surveys.,title_abstract,INCLUDE,"Direct methodological contribution, survey-comparability evidence, or primary PaRIS/EHIS methods relevant to the framework",Codex; title/abstract review for investigator confirmation,2026-08-21,INCLUDE,,2026-08-21,
PMID-30478617,30478617,Educational inequalities in Global Activity Limitation Indicator disability in 28 European Countries: Does the choice of survey matter?,title_abstract,INCLUDE,"Direct methodological contribution, survey-comparability evidence, or primary PaRIS/EHIS methods relevant to the framework",Codex; title/abstract review for investigator confirmation,2026-08-21,INCLUDE,,2026-08-21,
PMID-30530137,30530137,Measurement equivalence of the short-form Quality of Life in Childhood Epilepsy Questionnaire (QOLCE-16).,title_abstract,BACKGROUND,"Adjacent methodological or psychometric evidence useful for context, but not central to PaRIS-EHIS harmonisation",Codex; title/abstract review for investigator confirmation,2026-08-21,BACKGROUND,,2026-08-21,
PMID-25627670,25627670,Assessing measurement invariance of three depression scales between neurologic samples and community samples.,title_abstract,BACKGROUND,"Adjacent methodological or psychometric evidence useful for context, but not central to PaRIS-EHIS harmonisation",Codex; title/abstract review for investigator confirmation,2026-08-21,BACKGROUND,,2026-08-21,
PMID-22835634,22835634,[Hungarian Diet and Nutritional Status Survey -- the OTAP2009 study. V. Intake of microelements in the Hungarian population].,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,EXCLUDE,,2026-08-21,
PMID-21657110,21657110,European comparisons between mental health services.,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,EXCLUDE,,2026-08-21,
PMID-33152178,33152178,Scale Banking for Patient-Reported Outcome Measures That Measure Functioning in Rheumatoid Arthritis: A Daily Activities Metric.,title_abstract,INCLUDE,"Direct methodological contribution, survey-comparability evidence, or primary PaRIS/EHIS methods relevant to the framework",Codex; title/abstract review for investigator confirmation,2026-08-21,INCLUDE,,2026-08-21,
PMID-33610807,33610807,Linking Oswestry Disability Index to the PROMIS pain interference CAT with equipercentile methods.,title_abstract,INCLUDE,"Direct methodological contribution, survey-comparability evidence, or primary PaRIS/EHIS methods relevant to the framework",Codex; title/abstract review for investigator confirmation,2026-08-21,INCLUDE,,2026-08-21,
PMID-30235003,30235003,"Scoring Depression on a Common Metric: A Comparison of EAP Estimation, Plausible Value Imputation, and Full Bayesian IRT Modeling.",title_abstract,INCLUDE,"Direct methodological contribution, survey-comparability evidence, or primary PaRIS/EHIS methods relevant to the framework",Codex; title/abstract review for investigator confirmation,2026-08-21,INCLUDE,,2026-08-21,
PMID-24262771,24262771,Standardization of depression measurement: a common metric was developed for 11 self-report depression measures.,title_abstract,INCLUDE,"Direct methodological contribution, survey-comparability evidence, or primary PaRIS/EHIS methods relevant to the framework",Codex; title/abstract review for investigator confirmation,2026-08-21,INCLUDE,,2026-08-21,
PMID-17060838,17060838,An essay on measurement and factorial invariance.,title_abstract,BACKGROUND,"Adjacent methodological or psychometric evidence useful for context, but not central to PaRIS-EHIS harmonisation",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-42362693,42362693,An integrated cell atlas of 2.4 million cardiac cells across 209 individuals in health and disease.,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-41813166,41813166,Design and Performance of an Email-Based Patient Recruitment Campaign in Primary Care Research: Formative Secondary Analysis.,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-41515275,41515275,Dietary Patterns and Depressive Symptom Severity in the Hungarian Adult Population: Evidence from a Nationally Representative Survey.,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-41808055,41808055,Estimating the hospitalisation burden of obesity in Europe: evidence from the European health interview survey (EHIS) wave 3.,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-41923015,41923015,Evaluating the participatory processes within the OECD PaRIS project in Saskatchewan: lessons learned about recruitment and engagement.,title_abstract,BACKGROUND,"Adjacent methodological or psychometric evidence useful for context, but not central to PaRIS-EHIS harmonisation",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-41167399,41167399,Insulinemic and inflammatory dietary patterns and colorectal cancer risk: a dietary data harmonization study of one million participants in the Consortium of Metabolomics Studies (COMETS).,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-42075612,42075612,Lifestyle and Health Characteristics of the Adult Population of Serbia with Type 2 Diabetes Mellitus.,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-40958450,40958450,Personal Recovery in the General Population: Comparison of Psychometric Properties of the Brief INSPIRE-O in Those With and Without Common Mental Disorders.,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-42208539,42208539,Rethinking healthcare data interoperability in the age of large language models.,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-42568083,42568083,Social support and country-level factors associated with cancer screening participation in 18 European countries: a multilevel analysis of the European Health Interview Survey.,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-40649013,40649013,Artificial Sweeteners and Cardiovascular Risk in Hungary: Beyond Traditional Risk Factors.,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-41039292,41039292,Assessing evidence of measurement invariance of the Mental Health Inventory (MHI-5) by gender in a German adult sample.,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-40573146,40573146,Comparison of Preconception Diet Scores Across Studies: The PrePARED Consortium.,title_abstract,BACKGROUND,"Adjacent methodological or psychometric evidence useful for context, but not central to PaRIS-EHIS harmonisation",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-39174334,39174334,Development of the Patient-Reported Indicator Surveys (PaRIS) conceptual framework to monitor and improve the performance of primary care for people living with chronic conditions.,title_abstract,INCLUDE,"Direct methodological contribution, survey-comparability evidence, or primary PaRIS/EHIS methods relevant to the framework",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-41068859,41068859,Examining cervical cancer screening adherence: how does healthism influence participation?,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-40183494,40183494,"Factor Structure, Internal Consistency, and Measurement Invariance of the Eating Pathology Symptoms Inventory (EPSI) in Transgender and Gender-Diverse Adults.",title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-40998583,40998583,International survey of people living with chronic conditions: development and evaluation of the PaRIS Patient Questionnaire (PaRIS-PQ) in 18 countries.,title_abstract,INCLUDE,"Direct methodological contribution, survey-comparability evidence, or primary PaRIS/EHIS methods relevant to the framework",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-39915755,39915755,Physical activity and motivational readiness for physical activity behavior change in adults with non-communicable diseases in Germany: a trend analysis of two cross-sectional health surveys from the German GEDA study 2014/2015 and 2019/2020.,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-40419590,40419590,"The sense of coherence scale and relationships between sense of coherence, sociodemographic variables and chronic disease.",title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-38365871,38365871,Approaches to protocol standardization and data harmonization in the ECHO-wide cohort study.,title_abstract,INCLUDE,"Direct methodological contribution, survey-comparability evidence, or primary PaRIS/EHIS methods relevant to the framework",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-39281853,39281853,Clinical and biobehavioral phenotypic assessments and data harmonization for the RE-JOIN research consortium: Recommendations for common data element selection.,title_abstract,BACKGROUND,"Adjacent methodological or psychometric evidence useful for context, but not central to PaRIS-EHIS harmonisation",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-38577153,38577153,Diet patterns associated with cognitive decline: methods to harmonize data from European and US cohort studies.,title_abstract,INCLUDE,"Direct methodological contribution, survey-comparability evidence, or primary PaRIS/EHIS methods relevant to the framework",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-38953657,38953657,Evaluating the harmonization potential of oral health-related questionnaires in national longitudinal birth and child cohort surveys.,title_abstract,INCLUDE,"Direct methodological contribution, survey-comparability evidence, or primary PaRIS/EHIS methods relevant to the framework",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-39727906,39727906,"Measurement Equivalence and Feasibility of the Electronic and Paper Versions of the POSAS, EQ-5D, and DLQI: A Randomized Crossover Trial.",title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-39080090,39080090,Measurement invariance of the PROMIS emotional distress and subjective well-being domains among autistic and General Population adolescents.,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-38892800,38892800,Musculoskeletal Diseases as the Most Prevalent Component of Multimorbidity: A Population-Based Study.,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-38755748,38755748,New Tools for Data Harmonization and Their Potential Applications in Organ Transplantation.,title_abstract,BACKGROUND,"Adjacent methodological or psychometric evidence useful for context, but not central to PaRIS-EHIS harmonisation",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-38156337,38156337,Patient Reported Indicator Surveys (Paris): Methodological Considerations of a Field Trial in Slovenia.,title_abstract,INCLUDE,"Direct methodological contribution, survey-comparability evidence, or primary PaRIS/EHIS methods relevant to the framework",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
