strategy_id,database,objective,query,sort,max_records,status
NR-PUBMED-01,PubMed,Retrospective harmonisation methods,"((data harmonization[Title/Abstract] OR data harmonisation[Title/Abstract] OR retrospective harmonization[Title/Abstract] OR retrospective harmonisation[Title/Abstract]) AND (survey*[Title/Abstract] OR cohort*[Title/Abstract] OR epidemiolog*[Title/Abstract] OR health[Title/Abstract]))",relevance,300,READY
NR-PUBMED-02,PubMed,Measurement and questionnaire equivalence,"((measurement equivalence[Title/Abstract] OR measurement invariance[Title/Abstract] OR questionnaire harmonization[Title/Abstract] OR questionnaire harmonisation[Title/Abstract] OR common metric[Title/Abstract] OR scale linking[Title/Abstract]) AND (health[Title/Abstract] OR patient reported[Title/Abstract] OR population[Title/Abstract]))",relevance,300,READY
NR-PUBMED-03,PubMed,PaRIS and EHIS applications,"((\"Patient-Reported Indicator Surveys\"[Title/Abstract] OR \"Patient-Reported Indicator Survey\"[Title/Abstract] OR \"European Health Interview Survey\"[Title/Abstract]) AND (harmon*[Title/Abstract] OR comparab*[Title/Abstract] OR method*[Title/Abstract] OR valid*[Title/Abstract]))",relevance,300,READY
NR-SCOPUS-01,Scopus,Retrospective harmonisation methods,"TITLE-ABS-KEY((\"data harmonization\" OR \"data harmonisation\" OR \"retrospective harmonization\" OR \"retrospective harmonisation\") AND (survey* OR cohort* OR epidemiolog*) AND (method* OR framework* OR guideline* OR protocol* OR comparab* OR valid*))",relevance,1000,RETRIEVED_PENDING_SCREENING
NR-SCOPUS-02,Scopus,Measurement and questionnaire equivalence,"TITLE((\"measurement equivalence\" OR \"measurement invariance\" OR \"questionnaire harmonization\" OR \"questionnaire harmonisation\" OR \"common metric\" OR \"scale linking\")) AND TITLE-ABS-KEY((survey* OR \"general population\" OR population-based OR epidemiolog*) AND (health OR \"patient reported\"))",relevance,1000,RETRIEVED_PENDING_SCREENING
NR-SCOPUS-03,Scopus,PaRIS and EHIS applications,"TITLE-ABS-KEY((\"Patient-Reported Indicator Surveys\" OR \"Patient-Reported Indicator Survey\" OR \"European Health Interview Survey\") AND (harmon* OR comparab* OR method* OR valid*))",relevance,1000,RETRIEVED_PENDING_SCREENING
NR-EMBASE-01,Embase.com,Retrospective harmonisation methods,"('data harmonization':ti,ab,kw OR 'data harmonisation':ti,ab,kw OR 'retrospective harmonization':ti,ab,kw OR 'retrospective harmonisation':ti,ab,kw) AND (survey*:ti,ab,kw OR cohort*:ti,ab,kw OR epidemiolog*:ti,ab,kw) AND (method*:ti,ab,kw OR framework*:ti,ab,kw OR guideline*:ti,ab,kw OR protocol*:ti,ab,kw OR comparab*:ti,ab,kw OR valid*:ti,ab,kw)",relevance,471,RETRIEVED_PENDING_SCREENING
NR-EMBASE-02,Embase.com,Measurement and questionnaire equivalence,"('measurement equivalence':ti OR 'measurement invariance':ti OR 'questionnaire harmonization':ti OR 'questionnaire harmonisation':ti OR 'common metric':ti OR 'scale linking':ti) AND (survey*:ti,ab,kw OR 'general population':ti,ab,kw OR 'population based':ti,ab,kw OR epidemiolog*:ti,ab,kw) AND (health:ti,ab,kw OR 'patient reported':ti,ab,kw)",relevance,177,RETRIEVED_PENDING_SCREENING
NR-EMBASE-03,Embase.com,PaRIS and EHIS applications,"('patient-reported indicator surveys':ti,ab,kw OR 'patient-reported indicator survey':ti,ab,kw OR 'european health interview survey':ti,ab,kw) AND (harmon*:ti,ab,kw OR comparab*:ti,ab,kw OR method*:ti,ab,kw OR valid*:ti,ab,kw)",relevance,231,RETRIEVED_PENDING_SCREENING
NR-WOS-01,Web of Science,Combined methodological search,"TS=((\"data harmonization\" OR \"data harmonisation\" OR \"retrospective harmonization\" OR \"retrospective harmonisation\") AND (survey* OR cohort* OR epidemiolog* OR health)) OR TS=((\"measurement equivalence\" OR \"measurement invariance\" OR \"scale linking\") AND (health OR \"patient reported\"))",relevance,500,MANUAL_ACCESS_REQUIRED
