"subquery_id","parent_strategy_id","query","paging","total_reported","total_downloaded","unique_source_records","duplicate_source_rows","complete","raw_file","sha256"
"A-SQ01","SR-SCOPUS-A","TITLE-ABS-KEY((""data harmonization"" OR ""data harmonisation"" OR ""retrospective harmonization"" OR ""retrospective harmonisation"") AND (survey* OR questionnaire* OR cohort* OR epidemiolog* OR ""population health"" OR ""health survey"" OR ""health surveys"" OR ""patient-reported measure"" OR ""patient-reported measures"" OR ""patient reported measure"" OR ""patient reported measures"" OR ""cross-national"" OR ""cross-country"" OR multicountry OR ""multi-country""))","offset",635,635,635,0,TRUE,"data/raw/scoping-review/scopus/SR-SCOPUS-A/a-sq01/records-offset.rds","d8dd5f21a8bf90183c5dafb9a20b6f062591769d31c231cf1f042ee82ce69e26"
"A-SQ02","SR-SCOPUS-A","TITLE-ABS-KEY((""ex post harmonization"" OR ""ex-post harmonization"" OR ""ex post harmonisation"" OR ""ex-post harmonisation"") AND (survey* OR questionnaire* OR cohort* OR epidemiolog* OR ""population health"" OR ""health survey"" OR ""health surveys"" OR ""patient-reported measure"" OR ""patient-reported measures"" OR ""patient reported measure"" OR ""patient reported measures"" OR ""cross-national"" OR ""cross-country"" OR multicountry OR ""multi-country""))","offset",24,24,24,0,TRUE,"data/raw/scoping-review/scopus/SR-SCOPUS-A/a-sq02/records-offset.rds","4238f79c603040122aede9255e9d7d7189c886d6525e8792bf67ebd4e2328a4c"
"A-SQ03","SR-SCOPUS-A","TITLE-ABS-KEY((""post hoc harmonization"" OR ""post hoc harmonisation"" OR ""pooled data harmonization"" OR ""pooled data harmonisation"") AND (survey* OR questionnaire* OR cohort* OR epidemiolog* OR ""population health"" OR ""health survey"" OR ""health surveys"" OR ""patient-reported measure"" OR ""patient-reported measures"" OR ""patient reported measure"" OR ""patient reported measures"" OR ""cross-national"" OR ""cross-country"" OR multicountry OR ""multi-country""))","offset",2,2,2,0,TRUE,"data/raw/scoping-review/scopus/SR-SCOPUS-A/a-sq03/records-offset.rds","82db026ac1e285fa40133c73d69c309e5b1ace40e4aaa475de817ad93c2c5d1e"
"A-SQ04","SR-SCOPUS-A","TITLE-ABS-KEY((""individual-level data harmonization"" OR ""individual-level data harmonisation"" OR ""variable harmonization"" OR ""variable harmonisation"") AND (survey* OR questionnaire* OR cohort* OR epidemiolog* OR ""population health"" OR ""health survey"" OR ""health surveys"" OR ""patient-reported measure"" OR ""patient-reported measures"" OR ""patient reported measure"" OR ""patient reported measures"" OR ""cross-national"" OR ""cross-country"" OR multicountry OR ""multi-country""))","offset",13,13,13,0,TRUE,"data/raw/scoping-review/scopus/SR-SCOPUS-A/a-sq04/records-offset.rds","0150952f6ba8726e8a0a4b7071f5553437ba756f16327ebf10c4a22c919116c8"
"A-SQ05","SR-SCOPUS-A","TITLE-ABS-KEY((""survey harmonization"" OR ""survey harmonisation"" OR ""questionnaire harmonization"" OR ""questionnaire harmonisation"") AND (survey* OR questionnaire* OR cohort* OR epidemiolog* OR ""population health"" OR ""health survey"" OR ""health surveys"" OR ""patient-reported measure"" OR ""patient-reported measures"" OR ""patient reported measure"" OR ""patient reported measures"" OR ""cross-national"" OR ""cross-country"" OR multicountry OR ""multi-country""))","offset",16,16,16,0,TRUE,"data/raw/scoping-review/scopus/SR-SCOPUS-A/a-sq05/records-offset.rds","aebdea03f72cef2f06690f77d6bebad0b73d3165dd4b4a4089251f6bcc316d44"
"A-SQ06","SR-SCOPUS-A","TITLE-ABS-KEY((""semantic harmonization"" OR ""semantic harmonisation"") AND (survey* OR questionnaire* OR cohort* OR epidemiolog* OR ""population health"" OR ""health survey"" OR ""health surveys"" OR ""patient-reported measure"" OR ""patient-reported measures"" OR ""patient reported measure"" OR ""patient reported measures"" OR ""cross-national"" OR ""cross-country"" OR multicountry OR ""multi-country""))","offset",17,17,17,0,TRUE,"data/raw/scoping-review/scopus/SR-SCOPUS-A/a-sq06/records-offset.rds","87a0f5b8306984f7fc46d00ffd472793eec6b095d2ac969fab5e99be670e16d8"
"B-SQ01","SR-SCOPUS-B","TITLE-ABS-KEY((""measurement equivalence"" OR ""measurement invariance"" OR ""construct equivalence"" OR ""conceptual equivalence"") AND (survey* OR questionnaire* OR instrument* OR scale* OR cohort* OR ""population health"" OR ""health status"" OR ""patient-reported outcome"" OR ""patient-reported outcomes"" OR ""patient-reported experience measure"" OR ""patient-reported experience measures""))","year_partition",10362,10362,10353,9,TRUE,"data/raw/scoping-review/scopus/SR-SCOPUS-B/b-sq01/records-through-2028.rds","60f33f2ae6f3d0eaf72adc8ffe3732e98bf258f2e580a2e732137d93909d54c8"
"B-SQ02","SR-SCOPUS-B","TITLE-ABS-KEY((""semantic equivalence"" OR ""functional equivalence"" OR ""item equivalence"" OR ""question comparability"") AND (survey* OR questionnaire* OR instrument* OR scale* OR cohort* OR ""population health"" OR ""health status"" OR ""patient-reported outcome"" OR ""patient-reported outcomes"" OR ""patient-reported experience measure"" OR ""patient-reported experience measures""))","offset",770,770,770,0,TRUE,"data/raw/scoping-review/scopus/SR-SCOPUS-B/b-sq02/records-offset.rds","3b404f80a30ac4b3d87554cb841ffd341dc26e853b3915644ceef06765c092c3"
"B-SQ03","SR-SCOPUS-B","TITLE-ABS-KEY((""questionnaire comparability"" OR ""cross-survey comparability"" OR ""cross-cultural comparability"" OR ""common metric"") AND (survey* OR questionnaire* OR instrument* OR scale* OR cohort* OR ""population health"" OR ""health status"" OR ""patient-reported outcome"" OR ""patient-reported outcomes"" OR ""patient-reported experience measure"" OR ""patient-reported experience measures""))","offset",762,762,762,0,TRUE,"data/raw/scoping-review/scopus/SR-SCOPUS-B/b-sq03/records-offset.rds","1dc5aa64e24760f4fab317a18dab15f75fa1bd9acd581d74e9b696cab8a1d6d3"
"B-SQ04","SR-SCOPUS-B","TITLE-ABS-KEY((""scale linking"" OR ""score linking"" OR ""test equating"" OR crosswalk*) AND (survey* OR questionnaire* OR instrument* OR scale* OR cohort* OR ""population health"" OR ""health status"" OR ""patient-reported outcome"" OR ""patient-reported outcomes"" OR ""patient-reported experience measure"" OR ""patient-reported experience measures""))","offset",1339,1339,1339,0,TRUE,"data/raw/scoping-review/scopus/SR-SCOPUS-B/b-sq04/records-offset.rds","5866d0c7fdaa83db59fae939a57b6879075b0770ad3e2ae791cdc270a2fe4672"
