run_id,search_strategy_id,search_version,search_line,database,platform,executed_at,endpoint,filters,page_size,pages,total_reported,total_downloaded,completion_status,http_status,error_class,error_message_sanitized,raw_manifest,raw_checksum,software_version,git_commit,dirty_worktree,notes
SR-PUBMED-A-20260825T072151Z,SR-PUBMED-A,0.2,A,PubMed/MEDLINE,PubMed,2026-08-25T07:21:51Z,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/,None,1000,3,2109,2109,COMPLETE,200,,,logs/scoping-review/sr-pubmed-a-pages.csv,9392f6e339a912f0f7ffab13df82a973626caa08b01046c0511a0519cf7c7808,R 4.5.0,995c680b07e410fa6ddba4053d9b45741d7b3103,TRUE,ESearch history plus paginated EFetch XML
SR-PUBMED-B-20260825T072423Z,SR-PUBMED-B,0.2,B,PubMed/MEDLINE,PubMed,2026-08-25T07:24:23Z,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/,None,1000,,,0,FAILED,,httr2_http_400,HTTP 400 Bad Request.,,,R 4.5.0,995c680b07e410fa6ddba4053d9b45741d7b3103,TRUE,
SR-PUBMED-C-20260825T072436Z,SR-PUBMED-C,0.2,C,PubMed/MEDLINE,PubMed,2026-08-25T07:24:36Z,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/,None,1000,1,695,690,TRUNCATED,200,,,logs/scoping-review/sr-pubmed-c-pages.csv,3987df028179996435f4d268af9b5790dcf5e5ebc6d4c1d4285146271b57414e,R 4.5.0,995c680b07e410fa6ddba4053d9b45741d7b3103,TRUE,ESearch history plus paginated EFetch XML
SR-PUBMED-A-20260825T072756Z,SR-PUBMED-A,0.2,A,PubMed/MEDLINE,PubMed,2026-08-25T07:27:56Z,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/,None,1000,3,2109,2109,COMPLETE,200,,,logs/scoping-review/sr-pubmed-a-pages.csv,9392f6e339a912f0f7ffab13df82a973626caa08b01046c0511a0519cf7c7808,R 4.5.0,995c680b07e410fa6ddba4053d9b45741d7b3103,TRUE,ESearch history plus paginated EFetch XML
SR-PUBMED-B-20260825T074609Z,SR-PUBMED-B,0.2,B,PubMed/MEDLINE,PubMed,2026-08-25T07:46:09Z,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/,None,1000,107,87716,97799,TRUNCATED,200,,,logs/scoping-review/sr-pubmed-b-pages.csv,888423f2ced4ab947516d8cd61dedc13d4e207a16026631a566884133ab88332,R 4.5.0,995c680b07e410fa6ddba4053d9b45741d7b3103,TRUE,ESearch history plus paginated EFetch XML
SR-PUBMED-C-20260825T074614Z,SR-PUBMED-C,0.2,C,PubMed/MEDLINE,PubMed,2026-08-25T07:46:14Z,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/,None,1000,1,695,695,COMPLETE,200,,,logs/scoping-review/sr-pubmed-c-pages.csv,3987df028179996435f4d268af9b5790dcf5e5ebc6d4c1d4285146271b57414e,R 4.5.0,995c680b07e410fa6ddba4053d9b45741d7b3103,TRUE,ESearch history plus paginated EFetch XML
SR-PUBMED-B-20260825T074753Z,SR-PUBMED-B,0.2,B,PubMed/MEDLINE,PubMed,2026-08-25T07:47:53Z,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/,None,1000,107,87716,87716,COMPLETE,200,,,logs/scoping-review/sr-pubmed-b-pages.csv,888423f2ced4ab947516d8cd61dedc13d4e207a16026631a566884133ab88332,R 4.5.0,995c680b07e410fa6ddba4053d9b45741d7b3103,TRUE,ESearch history plus temporal partitions; partition_total=97799; cross_partition_duplicate_rows=10083
SR-SCOPUS-A-20260825T074854Z,SR-SCOPUS-A,0.2,A,Scopus,Scopus,2026-08-25T07:48:54Z,https://api.elsevier.com/content/search/scopus,None,200,,,0,FAILED,,scopus_error_server,The 'Scopus' API returned a server error (HTTP 500).,,,R 4.5.0,995c680b07e410fa6ddba4053d9b45741d7b3103,TRUE,
SR-SCOPUS-B-20260825T074900Z,SR-SCOPUS-B,0.2,B,Scopus,Scopus,2026-08-25T07:49:00Z,https://api.elsevier.com/content/search/scopus,None,200,,,0,FAILED,,scopus_error_server,The 'Scopus' API returned a server error (HTTP 500).,,,R 4.5.0,995c680b07e410fa6ddba4053d9b45741d7b3103,TRUE,
SR-SCOPUS-C-20260825T074904Z,SR-SCOPUS-C,0.2,C,Scopus,Scopus,2026-08-25T07:49:04Z,https://api.elsevier.com/content/search/scopus,None,200,,,0,FAILED,,scopus_error_server,The 'Scopus' API returned a server error (HTTP 500).,,,R 4.5.0,995c680b07e410fa6ddba4053d9b45741d7b3103,TRUE,
