seed_id,citation,doi,pmid,scopus_eid,embase_id,methodological_domain,expected_search_line,notes
SEED-001,"Fortier I et al. Maelstrom Research guidelines for rigorous retrospective data harmonization. Int J Epidemiol. 2017.",10.1093/ije/dyw075,27272186,,,retrospective_harmonisation_framework,A;C,Primary process framework
SEED-002,"Doiron D et al. Data harmonization and federated analysis of population-based studies: the BioSHaRE project. Emerg Themes Epidemiol. 2013.",10.1186/1742-7622-10-12,24257327,,,harmonisation_infrastructure,A;C,International infrastructure
SEED-003,"Daskalopoulou C et al. Overview of retrospective data harmonisation in the MINDMAP project: process and results. J Epidemiol Community Health. 2021.",10.1136/jech-2020-214259,33184054,,,dataschema_application,A;C,Applied process and DataSchema
SEED-004,"Martin-Storey A et al. Measurement equivalence: a glossary for comparative population health research. J Epidemiol Community Health. 2018.",10.1136/jech-2017-209962,29511034,,,conceptual_measurement_equivalence,B,Terminology and criteria
SEED-005,"Standardization of depression measurement: a common metric was developed for 11 self-report depression measures. J Clin Epidemiol. 2014.",10.1016/j.jclinepi.2013.04.019,24262771,,,common_metric_linking,B,Common metric application
SEED-006,"Establishing a common metric for self-reported anxiety: linking the MASQ PANAS and GAD-7 to PROMIS Anxiety. J Anxiety Disord. 2014.",10.1016/j.janxdis.2013.11.006,24508596,,,common_metric_linking,B,Scale linking application
SEED-007,"Establishing a Common Metric for Physical Function: Linking the HAQ-DI and SF-36 PF Subscale to PROMIS Physical Function. J Gen Intern Med. 2015.",10.1007/s11606-015-3360-0,25990189,,,prom_linking_crosswalk,B,Patient-reported outcome linking
SEED-008,"Establishing a common metric for depressive symptoms: linking the BDI-II CES-D and PHQ-9 to PROMIS depression. Psychol Assess. 2014.",10.1037/a0035768,24548149,,,anchor_item_linking,B,Anchored scale linking
SEED-009,"Developing a common metric for depression across adulthood: Linking PROMIS depression with the Edinburgh Postnatal Depression Scale. Psychol Assess. 2021.",10.1037/pas0001009,34060864,,,measurement_invariance_linking,B,Multi-instrument linking
SEED-010,"Scale Linking to Enable Patient-Reported Outcome Performance Measures Assessed with Different Patient-Reported Outcome Measures. Value Health. 2017.",10.1016/j.jval.2017.05.012,28964447,,,prom_crosswalk,B,Crosswalk and linking report
SEED-011,"Griffith LE et al. Data harmonization in aging research: not so fast. Exp Aging Res. 2015.",10.1080/0361073X.2015.1085748,26524232,,,harmonisation_limits,A;B,Limitations and decision cautions
SEED-012,"OECD. Comparing patient-reported outcome and experience measures in international health surveys. OECD Health Working Papers. 2026.",10.1787/acf46da9-en,,,,international_health_survey_application,A;B;C,Grey-literature benchmark; indexing uncertain
SEED-013,"Is rigorous retrospective harmonization possible? Application of the DataSHaPER approach across 53 large studies. Int J Epidemiol. 2011.",10.1093/ije/dyr106,21804097,,,dataschema_framework,A;C,Explicit framework and DataSHaPER application
